Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year,% of Students Found
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,323",66,"$73,791","$104,757","$129,141","$98,042",54,14,81.82%
50,1,FTF + FTT,00121 + 12031 + 12032,12032,Nursing,"1,323",47,"$82,885","$107,360","$132,281","$105,625",38,15,80.85%
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,1,1,50.00%
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,1,2,50.00%
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,,3,0.00%
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,1,4,50.00%
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,1,5,50.00%
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,1,6,50.00%
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,1,7,50.00%
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,1,8,50.00%
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,,9,0.00%
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,,10,0.00%
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,,11,0.00%
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,,12,0.00%
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,,13,0.00%
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,,14,0.00%
50,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,2,2,,,,,,15,0.00%
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,29,"$5,695","$16,931","$35,039","$23,067",24,1,82.76%
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,26,"$12,664","$26,902","$46,659","$28,983",20,2,76.92%
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,22,"$7,587","$22,284","$53,081","$32,873",17,3,77.27%
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,21,"$15,807","$45,114","$63,171","$42,260",15,4,71.43%
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,18,"$28,382","$43,129","$62,411","$49,082",13,5,72.22%
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,17,"$15,393","$47,621","$63,714","$44,518",13,6,76.47%
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,16,"$39,339","$55,029","$89,655","$64,795",8,7,50.00%
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,15,"$44,898","$47,913","$71,393","$57,885",7,8,46.67%
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,13,"$20,591","$62,921","$96,499","$60,068",8,9,61.54%
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,12,"$58,293","$71,956","$73,698","$73,837",5,10,41.67%
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,12,"$58,799","$71,687","$72,991","$71,742",5,11,41.67%
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,11,,,,,4,12,36.36%
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,10,,,,,4,13,40.00%
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,8,,,,,3,14,37.50%
50,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,29,7,,,,,2,15,28.57%
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,7,"$16,068","$17,997","$21,516","$16,984",5,1,71.43%
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,7,"$14,216","$22,146","$24,524","$19,133",5,2,71.43%
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,7,"$15,748","$24,190","$27,630","$20,597",5,3,71.43%
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,7,,,,,4,4,57.14%
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,5,,,,,4,5,80.00%
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,4,,,,,3,6,75.00%
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,2,,,,,,7,0.00%
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,1,,,,,,8,0.00%
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,1,,,,,,9,0.00%
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,1,,,,,1,10,100.00%
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,,,,,,,11,#DIV/0!
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,,,,,,,12,#DIV/0!
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,,,,,,,13,#DIV/0!
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,,,,,,,14,#DIV/0!
50,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,9,,,,,,,15,#DIV/0!
50,1,FTF + FTT,03131,03131,American Studies,463,443,"$10,987","$22,363","$35,643","$25,519",375,1,84.65%
50,1,FTF + FTT,03131,03131,American Studies,463,419,"$16,945","$28,768","$43,808","$31,606",353,2,84.25%
50,1,FTF + FTT,03131,03131,American Studies,463,390,"$18,411","$35,584","$52,082","$36,277",327,3,83.85%
50,1,FTF + FTT,03131,03131,American Studies,463,367,"$25,212","$41,444","$55,743","$42,310",286,4,77.93%
50,1,FTF + FTT,03131,03131,American Studies,463,339,"$27,352","$44,397","$61,949","$46,102",255,5,75.22%
50,1,FTF + FTT,03131,03131,American Studies,463,313,"$27,068","$45,281","$64,535","$46,320",232,6,74.12%
50,1,FTF + FTT,03131,03131,American Studies,463,296,"$31,529","$46,887","$65,117","$48,795",216,7,72.97%
50,1,FTF + FTT,03131,03131,American Studies,463,264,"$28,861","$49,660","$72,315","$51,500",191,8,72.35%
50,1,FTF + FTT,03131,03131,American Studies,463,226,"$31,422","$52,608","$77,307","$55,891",159,9,70.35%
50,1,FTF + FTT,03131,03131,American Studies,463,201,"$35,534","$55,999","$79,449","$58,045",143,10,71.14%
50,1,FTF + FTT,03131,03131,American Studies,463,170,"$31,398","$59,309","$82,212","$60,011",114,11,67.06%
50,1,FTF + FTT,03131,03131,American Studies,463,140,"$44,530","$61,453","$85,182","$63,424",90,12,64.29%
50,1,FTF + FTT,03131,03131,American Studies,463,104,"$49,943","$61,358","$89,654","$65,865",65,13,62.50%
50,1,FTF + FTT,03131,03131,American Studies,463,71,"$48,513","$64,461","$99,447","$67,347",37,14,52.11%
50,1,FTF + FTT,03131,03131,American Studies,463,49,"$57,098","$72,740","$105,578","$72,340",23,15,46.94%
50,1,FTF + FTT,04011,04011,Biology,"1,486","1,307","$9,969","$21,922","$35,360","$24,678","1,055",1,80.72%
50,1,FTF + FTT,04011,04011,Biology,"1,486","1,137","$14,231","$31,186","$46,944","$32,152",882,2,77.57%
50,1,FTF + FTT,04011,04011,Biology,"1,486",996,"$18,282","$37,792","$53,659","$38,150",732,3,73.49%
50,1,FTF + FTT,04011,04011,Biology,"1,486",875,"$18,931","$42,487","$60,666","$43,213",650,4,74.29%
50,1,FTF + FTT,04011,04011,Biology,"1,486",782,"$29,906","$49,997","$67,129","$51,244",575,5,73.53%
50,1,FTF + FTT,04011,04011,Biology,"1,486",691,"$34,567","$55,657","$75,030","$57,574",504,6,72.94%
50,1,FTF + FTT,04011,04011,Biology,"1,486",614,"$37,622","$60,038","$80,813","$61,977",456,7,74.27%
50,1,FTF + FTT,04011,04011,Biology,"1,486",537,"$42,109","$65,454","$84,876","$66,551",395,8,73.56%
50,1,FTF + FTT,04011,04011,Biology,"1,486",473,"$46,641","$65,626","$89,790","$71,614",341,9,72.09%
50,1,FTF + FTT,04011,04011,Biology,"1,486",415,"$43,374","$70,075","$92,642","$73,221",298,10,71.81%
50,1,FTF + FTT,04011,04011,Biology,"1,486",353,"$43,194","$72,894","$96,444","$74,326",253,11,71.67%
50,1,FTF + FTT,04011,04011,Biology,"1,486",298,"$46,954","$73,754","$97,539","$78,182",213,12,71.48%
50,1,FTF + FTT,04011,04011,Biology,"1,486",251,"$47,952","$76,496","$104,306","$80,571",181,13,72.11%
50,1,FTF + FTT,04011,04011,Biology,"1,486",195,"$49,131","$82,943","$107,533","$86,019",133,14,68.21%
50,1,FTF + FTT,04011,04011,Biology,"1,486",135,"$48,334","$81,124","$108,375","$83,427",91,15,67.41%
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,1,,,,,,1,0.00%
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,1,,,,,1,2,100.00%
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,3,#DIV/0!
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,4,#DIV/0!
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,5,#DIV/0!
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,6,#DIV/0!
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,7,#DIV/0!
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,8,#DIV/0!
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,9,#DIV/0!
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,10,#DIV/0!
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,11,#DIV/0!
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,12,#DIV/0!
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,13,#DIV/0!
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,14,#DIV/0!
50,1,FTF + FTT,04012 + 04201,04201,Environmental Biology & Ecology,1,,,,,,,15,#DIV/0!
50,1,FTF + FTT,04141,04141,Biochemistry,439,377,"$10,444","$20,047","$35,867","$23,646",297,1,78.78%
50,1,FTF + FTT,04141,04141,Biochemistry,439,323,"$13,491","$29,848","$45,452","$31,111",244,2,75.54%
50,1,FTF + FTT,04141,04141,Biochemistry,439,284,"$16,527","$34,765","$52,836","$35,214",211,3,74.30%
50,1,FTF + FTT,04141,04141,Biochemistry,439,238,"$17,870","$38,795","$55,322","$39,662",166,4,69.75%
50,1,FTF + FTT,04141,04141,Biochemistry,439,206,"$25,224","$46,403","$64,411","$47,903",145,5,70.39%
50,1,FTF + FTT,04141,04141,Biochemistry,439,182,"$31,479","$51,343","$73,582","$54,989",131,6,71.98%
50,1,FTF + FTT,04141,04141,Biochemistry,439,152,"$33,670","$53,853","$78,224","$57,366",107,7,70.39%
50,1,FTF + FTT,04141,04141,Biochemistry,439,117,"$39,044","$62,777","$85,783","$63,848",83,8,70.94%
50,1,FTF + FTT,04141,04141,Biochemistry,439,97,"$33,919","$57,866","$80,318","$59,632",69,9,71.13%
50,1,FTF + FTT,04141,04141,Biochemistry,439,85,"$52,936","$68,710","$85,399","$67,020",58,10,68.24%
50,1,FTF + FTT,04141,04141,Biochemistry,439,68,"$50,592","$70,285","$100,085","$75,591",50,11,73.53%
50,1,FTF + FTT,04141,04141,Biochemistry,439,56,"$60,619","$76,451","$100,546","$85,920",40,12,71.43%
50,1,FTF + FTT,04141,04141,Biochemistry,439,44,"$44,768","$72,080","$104,752","$84,659",31,13,70.45%
50,1,FTF + FTT,04141,04141,Biochemistry,439,30,"$71,636","$91,934","$115,492","$100,530",21,14,70.00%
50,1,FTF + FTT,04141,04141,Biochemistry,439,24,"$73,528","$99,322","$138,775","$101,770",19,15,79.17%
50,1,FTF + FTT,04171,04171,Cell and Molecular Biology,9,6,,,,,2,1,33.33%
50,1,FTF + FTT,04171,04171,Cell and Molecular Biology,9,6,,,,,2,2,33.33%
50,1,FTF + FTT,04171,04171,Cell and Molecular Biology,9,5,,,,,1,3,20.00%
50,1,FTF + FTT,04171,04171,Cell and Molecular Biology,9,4,,,,,1,4,25.00%
50,1,FTF + FTT,04171,04171,Cell and Molecular Biology,9,4,,,,,1,5,25.00%
50,1,FTF + FTT,04171,04171,Cell and Molecular Biology,9,1,,,,,,6,0.00%
50,1,FTF + FTT,04171,04171,Cell and Molecular Biology,9,,,,,,,7,#DIV/0!
50,1,FTF + FTT,04171,04171,Cell and Molecular Biology,9,,,,,,,8,#DIV/0!
50,1,FTF + FTT,04171,04171,Cell and Molecular Biology,9,,,,,,,9,#DIV/0!
50,1,FTF + FTT,04171,04171,Cell and Molecular Biology,9,,,,,,,10,#DIV/0!
50,1,FTF + FTT,04171,04171,Cell and Molecular Biology,9,,,,,,,11,#DIV/0!
50,1,FTF + FTT,04171,04171,Cell and Molecular Biology,9,,,,,,,12,#DIV/0!
50,1,FTF + FTT,04171,04171,Cell and Molecular Biology,9,,,,,,,13,#DIV/0!
50,1,FTF + FTT,04171,04171,Cell and Molecular Biology,9,,,,,,,14,#DIV/0!
50,1,FTF + FTT,04171,04171,Cell and Molecular Biology,9,,,,,,,15,#DIV/0!
50,1,FTF + FTT,05011,05011,Business Administration,"21,791","20,344","$20,998","$35,652","$49,229","$37,030","17,873",1,87.85%
50,1,FTF + FTT,05011,05011,Business Administration,"21,791","18,761","$28,915","$43,905","$57,549","$44,999","16,182",2,86.25%
50,1,FTF + FTT,05011,05011,Business Administration,"21,791","17,177","$32,951","$48,301","$63,475","$50,215","14,525",3,84.56%
50,1,FTF + FTT,05011,05011,Business Administration,"21,791","15,691","$35,093","$51,922","$68,986","$54,327","12,994",4,82.81%
50,1,FTF + FTT,05011,05011,Business Administration,"21,791","14,242","$37,634","$55,377","$74,567","$58,727","11,460",5,80.47%
50,1,FTF + FTT,05011,05011,Business Administration,"21,791","12,838","$38,946","$58,407","$79,424","$62,167","10,101",6,78.68%
50,1,FTF + FTT,05011,05011,Business Administration,"21,791","11,472","$41,321","$61,440","$84,273","$66,295","8,806",7,76.76%
50,1,FTF + FTT,05011,05011,Business Administration,"21,791","10,175","$43,172","$64,125","$88,067","$69,591","7,676",8,75.44%
50,1,FTF + FTT,05011,05011,Business Administration,"21,791","8,916","$43,946","$66,775","$93,040","$73,470","6,634",9,74.41%
50,1,FTF + FTT,05011,05011,Business Administration,"21,791","7,752","$45,503","$68,753","$96,075","$76,679","5,662",10,73.04%
50,1,FTF + FTT,05011,05011,Business Administration,"21,791","6,628","$46,336","$70,196","$98,281","$79,731","4,764",11,71.88%
50,1,FTF + FTT,05011,05011,Business Administration,"21,791","5,594","$46,338","$71,634","$101,577","$82,120","3,990",12,71.33%
50,1,FTF + FTT,05011,05011,Business Administration,"21,791","4,518","$46,333","$73,339","$103,913","$82,782","3,200",13,70.83%
50,1,FTF + FTT,05011,05011,Business Administration,"21,791","3,497","$49,159","$74,879","$104,412","$85,422","2,449",14,70.03%
50,1,FTF + FTT,05011,05011,Business Administration,"21,791","2,568","$48,067","$76,927","$106,659","$86,937","1,730",15,67.37%
50,1,FTF + FTT,05021,05021,Accounting,10,8,,,,,2,1,25.00%
50,1,FTF + FTT,05021,05021,Accounting,10,7,,,,,1,2,14.29%
50,1,FTF + FTT,05021,05021,Accounting,10,7,,,,,2,3,28.57%
50,1,FTF + FTT,05021,05021,Accounting,10,7,,,,,2,4,28.57%
50,1,FTF + FTT,05021,05021,Accounting,10,6,,,,,2,5,33.33%
50,1,FTF + FTT,05021,05021,Accounting,10,4,,,,,2,6,50.00%
50,1,FTF + FTT,05021,05021,Accounting,10,2,,,,,2,7,100.00%
50,1,FTF + FTT,05021,05021,Accounting,10,,,,,,,8,#DIV/0!
50,1,FTF + FTT,05021,05021,Accounting,10,,,,,,,9,#DIV/0!
50,1,FTF + FTT,05021,05021,Accounting,10,,,,,,,10,#DIV/0!
50,1,FTF + FTT,05021,05021,Accounting,10,,,,,,,11,#DIV/0!
50,1,FTF + FTT,05021,05021,Accounting,10,,,,,,,12,#DIV/0!
50,1,FTF + FTT,05021,05021,Accounting,10,,,,,,,13,#DIV/0!
50,1,FTF + FTT,05021,05021,Accounting,10,,,,,,,14,#DIV/0!
50,1,FTF + FTT,05021,05021,Accounting,10,,,,,,,15,#DIV/0!
50,1,FTF + FTT,05041,05041,Finance,9,8,,,,,1,1,12.50%
50,1,FTF + FTT,05041,05041,Finance,9,7,,,,,,2,0.00%
50,1,FTF + FTT,05041,05041,Finance,9,6,,,,,,3,0.00%
50,1,FTF + FTT,05041,05041,Finance,9,4,,,,,,4,0.00%
50,1,FTF + FTT,05041,05041,Finance,9,3,,,,,,5,0.00%
50,1,FTF + FTT,05041,05041,Finance,9,2,,,,,,6,0.00%
50,1,FTF + FTT,05041,05041,Finance,9,1,,,,,,7,0.00%
50,1,FTF + FTT,05041,05041,Finance,9,1,,,,,,8,0.00%
50,1,FTF + FTT,05041,05041,Finance,9,1,,,,,,9,0.00%
50,1,FTF + FTT,05041,05041,Finance,9,1,,,,,,10,0.00%
50,1,FTF + FTT,05041,05041,Finance,9,,,,,,,11,#DIV/0!
50,1,FTF + FTT,05041,05041,Finance,9,,,,,,,12,#DIV/0!
50,1,FTF + FTT,05041,05041,Finance,9,,,,,,,13,#DIV/0!
50,1,FTF + FTT,05041,05041,Finance,9,,,,,,,14,#DIV/0!
50,1,FTF + FTT,05041,05041,Finance,9,,,,,,,15,#DIV/0!
50,1,FTF + FTT,05091,05091,Marketing,7,6,,,,,1,1,16.67%
50,1,FTF + FTT,05091,05091,Marketing,7,4,,,,,1,2,25.00%
50,1,FTF + FTT,05091,05091,Marketing,7,4,,,,,1,3,25.00%
50,1,FTF + FTT,05091,05091,Marketing,7,2,,,,,1,4,50.00%
50,1,FTF + FTT,05091,05091,Marketing,7,1,,,,,1,5,100.00%
50,1,FTF + FTT,05091,05091,Marketing,7,1,,,,,1,6,100.00%
50,1,FTF + FTT,05091,05091,Marketing,7,,,,,,,7,#DIV/0!
50,1,FTF + FTT,05091,05091,Marketing,7,,,,,,,8,#DIV/0!
50,1,FTF + FTT,05091,05091,Marketing,7,,,,,,,9,#DIV/0!
50,1,FTF + FTT,05091,05091,Marketing,7,,,,,,,10,#DIV/0!
50,1,FTF + FTT,05091,05091,Marketing,7,,,,,,,11,#DIV/0!
50,1,FTF + FTT,05091,05091,Marketing,7,,,,,,,12,#DIV/0!
50,1,FTF + FTT,05091,05091,Marketing,7,,,,,,,13,#DIV/0!
50,1,FTF + FTT,05091,05091,Marketing,7,,,,,,,14,#DIV/0!
50,1,FTF + FTT,05091,05091,Marketing,7,,,,,,,15,#DIV/0!
50,1,FTF + FTT,05131,05131,International Business,765,730,"$17,947","$31,466","$43,287","$32,645",609,1,83.42%
50,1,FTF + FTT,05131,05131,International Business,765,692,"$21,402","$37,465","$50,564","$38,569",552,2,79.77%
50,1,FTF + FTT,05131,05131,International Business,765,657,"$28,005","$42,046","$55,549","$43,680",492,3,74.89%
50,1,FTF + FTT,05131,05131,International Business,765,624,"$31,293","$45,645","$59,088","$47,123",448,4,71.79%
50,1,FTF + FTT,05131,05131,International Business,765,572,"$31,770","$47,221","$65,067","$50,155",400,5,69.93%
50,1,FTF + FTT,05131,05131,International Business,765,511,"$33,262","$51,256","$67,745","$52,863",350,6,68.49%
50,1,FTF + FTT,05131,05131,International Business,765,474,"$31,307","$49,805","$70,380","$53,650",324,7,68.35%
50,1,FTF + FTT,05131,05131,International Business,765,442,"$35,181","$54,866","$72,246","$56,725",289,8,65.38%
50,1,FTF + FTT,05131,05131,International Business,765,416,"$32,743","$57,967","$76,634","$58,214",273,9,65.63%
50,1,FTF + FTT,05131,05131,International Business,765,373,"$36,506","$60,404","$80,908","$62,021",251,10,67.29%
50,1,FTF + FTT,05131,05131,International Business,765,324,"$39,296","$65,415","$85,837","$68,314",216,11,66.67%
50,1,FTF + FTT,05131,05131,International Business,765,268,"$41,890","$63,641","$90,132","$70,262",170,12,63.43%
50,1,FTF + FTT,05131,05131,International Business,765,232,"$41,612","$64,870","$93,767","$73,852",139,13,59.91%
50,1,FTF + FTT,05131,05131,International Business,765,194,"$45,322","$68,045","$102,648","$79,444",114,14,58.76%
50,1,FTF + FTT,05131,05131,International Business,765,155,"$54,414","$73,089","$106,547","$87,366",86,15,55.48%
50,1,FTF + FTT,06011,06011,Communications,"9,913","9,404","$16,155","$28,476","$39,641","$29,727","8,484",1,90.22%
50,1,FTF + FTT,06011,06011,Communications,"9,913","8,726","$21,918","$35,723","$47,302","$36,544","7,673",2,87.93%
50,1,FTF + FTT,06011,06011,Communications,"9,913","8,057","$24,810","$39,817","$52,717","$40,939","6,857",3,85.11%
50,1,FTF + FTT,06011,06011,Communications,"9,913","7,332","$26,847","$42,948","$57,749","$44,537","6,078",4,82.90%
50,1,FTF + FTT,06011,06011,Communications,"9,913","6,632","$28,955","$46,195","$62,607","$48,554","5,313",5,80.11%
50,1,FTF + FTT,06011,06011,Communications,"9,913","5,881","$30,902","$49,402","$67,112","$52,087","4,598",6,78.18%
50,1,FTF + FTT,06011,06011,Communications,"9,913","5,190","$31,853","$51,965","$71,230","$54,722","3,959",7,76.28%
50,1,FTF + FTT,06011,06011,Communications,"9,913","4,552","$34,171","$54,918","$76,447","$59,045","3,358",8,73.77%
50,1,FTF + FTT,06011,06011,Communications,"9,913","3,894","$34,772","$56,811","$79,975","$61,087","2,784",9,71.49%
50,1,FTF + FTT,06011,06011,Communications,"9,913","3,325","$34,970","$58,076","$84,468","$63,608","2,318",10,69.71%
50,1,FTF + FTT,06011,06011,Communications,"9,913","2,814","$36,526","$61,450","$87,738","$67,294","1,911",11,67.91%
50,1,FTF + FTT,06011,06011,Communications,"9,913","2,350","$34,933","$61,820","$90,379","$69,754","1,555",12,66.17%
50,1,FTF + FTT,06011,06011,Communications,"9,913","1,906","$37,592","$65,322","$93,577","$73,161","1,227",13,64.38%
50,1,FTF + FTT,06011,06011,Communications,"9,913","1,533","$37,140","$64,742","$93,364","$73,927","1,000",14,65.23%
50,1,FTF + FTT,06011,06011,Communications,"9,913","1,140","$34,667","$66,878","$98,394","$76,465",744,15,65.26%
50,1,FTF + FTT,06031,06031,Radio/Television/Broadcast,"2,033","1,892","$10,492","$20,311","$31,747","$23,072","1,682",1,88.90%
50,1,FTF + FTT,06031,06031,Radio/Television/Broadcast,"2,033","1,703","$14,526","$26,677","$39,225","$28,895","1,486",2,87.26%
50,1,FTF + FTT,06031,06031,Radio/Television/Broadcast,"2,033","1,511","$16,676","$31,210","$43,928","$32,742","1,278",3,84.58%
50,1,FTF + FTT,06031,06031,Radio/Television/Broadcast,"2,033","1,360","$19,790","$34,401","$47,905","$36,388","1,129",4,83.01%
50,1,FTF + FTT,06031,06031,Radio/Television/Broadcast,"2,033","1,196","$20,970","$37,176","$53,051","$39,467",982,5,82.11%
50,1,FTF + FTT,06031,06031,Radio/Television/Broadcast,"2,033","1,067","$22,772","$40,755","$56,430","$42,764",853,6,79.94%
50,1,FTF + FTT,06031,06031,Radio/Television/Broadcast,"2,033",929,"$24,259","$43,050","$61,497","$45,485",743,7,79.98%
50,1,FTF + FTT,06031,06031,Radio/Television/Broadcast,"2,033",787,"$24,679","$44,736","$64,710","$48,788",610,8,77.51%
50,1,FTF + FTT,06031,06031,Radio/Television/Broadcast,"2,033",644,"$28,455","$48,363","$70,346","$53,849",486,9,75.47%
50,1,FTF + FTT,06031,06031,Radio/Television/Broadcast,"2,033",500,"$27,413","$51,684","$72,720","$56,734",385,10,77.00%
50,1,FTF + FTT,06031,06031,Radio/Television/Broadcast,"2,033",377,"$32,893","$56,863","$79,389","$62,588",269,11,71.35%
50,1,FTF + FTT,06031,06031,Radio/Television/Broadcast,"2,033",271,"$28,580","$56,410","$83,520","$64,767",194,12,71.59%
50,1,FTF + FTT,06031,06031,Radio/Television/Broadcast,"2,033",178,"$25,831","$54,339","$84,038","$60,648",134,13,75.28%
50,1,FTF + FTT,06031,06031,Radio/Television/Broadcast,"2,033",85,"$28,970","$56,010","$89,104","$62,096",63,14,74.12%
50,1,FTF + FTT,06031,06031,Radio/Television/Broadcast,"2,033",2,,,,,2,15,100.00%
50,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,978,873,"$25,123","$46,106","$68,133","$47,790",739,1,84.65%
50,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,978,798,"$34,392","$56,727","$77,492","$57,460",671,2,84.09%
50,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,978,747,"$41,106","$64,262","$81,402","$62,782",623,3,83.40%
50,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,978,705,"$45,412","$66,656","$89,425","$67,144",584,4,82.84%
50,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,978,669,"$50,508","$73,484","$93,005","$72,182",543,5,81.17%
